POSTCODE	SUBURB	LGA
2046	Abbotsford	CANADA BAY
2046	Abbotsford Point	CANADA BAY
2015	Alexandria	CITY OF SYDNEY
2038	Annandale (crosses City of Sydney Council)	LEICHHARDT
2038	Annandale (crosses Leichhardt Council)	CITY OF SYDNEY
2193	Ashbury (crosses Ashfield Council)	CANTERBURY
2193	Ashbury (crosses Canterbury Council)	ASHFIELD
2131	Ashfield (crosses Ashfield Council)	CANTERBURY
2131	Ashfield (crosses Canterbury Council)	ASHFIELD
2131	Ashfield North	ASHFIELD
2131	Ashfield South (crosses Ashfield Council)	CANTERBURY
2131	Ashfield South (crosses Canterbury Council)	ASHFIELD
2041	Balmain	LEICHHARDT
2041	Balmain East	LEICHHARDT
2191	Belfield (crosses Canterbury Council)	STRATHFIELD
2191	Belfield (crosses Strathfield Council)	CANTERBURY
2192	Belmore	CANTERBURY
2192	Belmore South	CANTERBURY
2209	Beverly Hills (crosses Hurstville and Rockdale Councils)	CANTERBURY
2209	Beverly Hills North (crosses Hurstville Council)	CANTERBURY
2207	Bexley North (crosses Rockdale Council)	CANTERBURY
2041	Birchgrove	LEICHHARDT
2047	Birkenhead Point	CANADA BAY
2137	Breakfast Point	CANADA BAY
2007	Broadway	CITY OF SYDNEY
2134	Burwood	BURWOOD
2134	Burwood East	BURWOOD
2136	Burwood Heights	BURWOOD
2134	Burwood North	BURWOOD
2137	Cabarita	CANADA BAY
2137	Cabarita Junction	CANADA BAY
2050	Camperdown (crosses City of Sydney Council)	MARRICKVILLE
2050	Camperdown (crosses Marrickville Council)	CITY OF SYDNEY
2194	Campsie	CANTERBURY
2194	Campsie South	CANTERBURY
2046	Canada Bay	CANADA BAY
2193	Canterbury (crosses Ashfield and Canterbury Councils)	MARRICKVILLE
2193	Canterbury (crosses Ashfield and Marrickville Councils)	CANTERBURY
2193	Canterbury (crosses Canterbury and Marrickville Councils)	ASHFIELD
2008	Chippendale	CITY OF SYDNEY
2046	Chiswick	CANADA BAY
2206	Clemton Park	CANTERBURY
2000	Cockatoo Island	LEICHHARDT
2137	Concord	CANADA BAY
2137	Concord East	CANADA BAY
2138	Concord North	CANADA BAY
2139	Concord Repatriation Hospital	CANADA BAY
2137	Concord South	CANADA BAY
2138	Concord West	CANADA BAY
2132	Croydon (crosses Ashfield Council)	BURWOOD
2132	Croydon (crosses Burwood Council)	ASHFIELD
2132	Croydon North (crosses Ashfield Council)	BURWOOD
2132	Croydon North (crosses Burwood Council)	ASHFIELD
2133	Croydon Park (crosses Ashfield and Burwood Councils)	CANTERBURY
2133	Croydon Park (crosses Ashfield and Canterbury Councils)	BURWOOD
2133	Croydon Park (crosses Burwood and Canterbury Councils)	ASHFIELD
2000	Darling Harbour	CITY OF SYDNEY
2008	Darlington	CITY OF SYDNEY
2045	Dobroyd Point	ASHFIELD
2047	Drummoyne	CANADA BAY
2203	Dulwich Hill	MARRICKVILLE
2206	Earlwood	CANTERBURY
2206	Earlwood West	CANTERBURY
2136	Enfield (crosses Burwood and Canterbury Councils)	STRATHFIELD
2136	Enfield (crosses Burwood and Strathfield Councils)	CANTERBURY
2136	Enfield (crosses Canterbury and Strathfield Councils)	BURWOOD
2133	Enfield South (crosses Burwood and Canterbury Councils)	STRATHFIELD
2136	Enfield South (crosses Burwood and Strathfield Councils)	CANTERBURY
2133	Enfield South (crosses Canterbury and Strathfield Councils)	BURWOOD
2042	Enmore	MARRICKVILLE
2043	Erskineville	CITY OF SYDNEY
2015	Eveleigh	CITY OF SYDNEY
2046	Five Dock	CANADA BAY
2140	Flemington	STRATHFIELD
2129	Flemington Markets	STRATHFIELD
2037	Forest Lodge	CITY OF SYDNEY
2037	Glebe	CITY OF SYDNEY
2037	Glebe Point	LEICHHARDT
2008	Golden Grove	CITY OF SYDNEY
2190	Greenacre (crosses Bankstown and Canterbury Councils)	STRATHFIELD
2190	Greenacre (crosses Bankstown and Strathfield Councils)	CANTERBURY
2045	Haberfield	ASHFIELD
2191	Harcourt	CANTERBURY
2140	Homebush (crosses Canada Bay Council)	STRATHFIELD
2140	Homebush (crosses Strathfield Council)	CANADA BAY
2140	Homebush South	STRATHFIELD
2140	Homebush West	STRATHFIELD
2193	Hurlstone Park (crosses Ashfield and Canterbury Councils)	MARRICKVILLE
