price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,suburb_ranking
452000,2016-01-13 00:00:00,Leumeah,1,3,1,344,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,334.0
495000,2016-01-15 00:00:00,Leumeah,1,3,2,582,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,334.0
890000,2016-01-18 00:00:00,Picnic Point,2,4,3,715,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,403.0
533000,2016-01-18 00:00:00,Whalan,3,4,2,695,House,5973,24180,2.429,-33.75572,150.80361,37,2.0,150.9,39.53,453.0
1120500,2016-01-19 00:00:00,North Rocks,2,4,2,904,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,271.0
830000,2016-01-19 00:00:00,Winmalee,3,6,2,2109,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,295.0
675000,2016-01-19 00:00:00,Bass Hill,3,3,2,263,Townhouse,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,459.0
473000,2016-01-19 00:00:00,Leumeah,1,3,3,581,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,334.0
520000,2016-01-20 00:00:00,Leumeah,1,3,1,651,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,334.0
510000,2016-01-20 00:00:00,Winmalee,1,3,1,993,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,295.0
570000,2016-01-21 00:00:00,Winmalee,1,3,2,828,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,295.0
1250000,2016-01-22 00:00:00,North Rocks,1,3,4,900,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,271.0
2300000,2016-01-25 00:00:00,Concord,3,5,2,556,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,185.0
940000,2016-01-25 00:00:00,Acacia Gardens,2,4,2,560,House,3798,47060,1.001,-33.73411,150.91377,88,2.0,150.9,31.04,491.0
695000,2016-01-25 00:00:00,Wetherill Park,1,3,2,550,House,6127,25688,11.214,-33.84214,150.89843,43,2.0,150.9,28.94,501.0
930000,2016-01-26 00:00:00,Picnic Point,1,4,5,607,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,403.0
2015000,2016-01-29 00:00:00,Concord,2,4,2,581,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,185.0
2000000,2016-01-29 00:00:00,Greenhills Beach,4,5,5,669,House,792,59592,0.539,-34.03624,151.1585,6,2.0,150.9,19.56,344.0
936000,2016-01-29 00:00:00,North Rocks,1,3,1,710,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,271.0
1500000,2016-01-30 00:00:00,North Rocks,4,5,3,987,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,271.0
712000,2016-01-30 00:00:00,Bass Hill,1,3,3,758,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,459.0
